Julian Date,Gregorian Day,Magnitude,Id Reference,Ref,Band,Magerr
2445463.36,"May 8, 1983 20h38m",14.23,1582,"D.Yu.Tsvetkov, Astron.Zhur., 62, 365, 1985       V",V,N/A
2445464.68,"May 10, 1983 4h19m",14.36,199,"R.J.Buta et al., PASP, 97, 229, 1985       V",V,N/A
2445465.42,"May 10, 1983 22h4m",14.34,1582,"D.Yu.Tsvetkov, Astron.Zhur., 62, 365, 1985       V",V,N/A
2445465.65,"May 11, 1983 3h35m",14.43,199,"R.J.Buta et al., PASP, 97, 229, 1985       V",V,N/A
2445466.65,"May 12, 1983 3h35m",14.5,199,"R.J.Buta et al., PASP, 97, 229, 1985       V",V,N/A
2445469.36,"May 14, 1983 20h38m",14.5,1582,"D.Yu.Tsvetkov, Astron.Zhur., 62, 365, 1985       V",V,N/A
2445470.34,"May 15, 1983 20h9m",14.55,1582,"D.Yu.Tsvetkov, Astron.Zhur., 62, 365, 1985       V",V,N/A
2445471.45,"May 16, 1983 22h19m",14.7,202,"S.Benetti,E.Cappellaro,M.Turatto, A.A., v.247,n.2,p.410,1991       V",V,N/A
2445490.4,"Jun 4, 1983 21h21m",15.05,202,"S.Benetti,E.Cappellaro,M.Turatto, A.A., v.247,n.2,p.410,1991       V",V,N/A
2445495.6,"Jun 10, 1983 2h24m",15.14,199,"R.J.Buta et al., PASP, 97, 229, 1985       V",V,N/A
2445438.74,"Apr 14, 1983 5h45m",12.93,199,"R.J.Buta et al., PASP, 97, 229, 1985        R",R,N/A
2445440.84,"Apr 16, 1983 8h9m",13.01,199,"R.J.Buta et al., PASP, 97, 229, 1985        R",R,N/A
2445438.74,"Apr 14, 1983 5h45m",12.67,199,"R.J.Buta et al., PASP, 97, 229, 1985        I",I,N/A
2445440.84,"Apr 16, 1983 8h9m",12.65,199,"R.J.Buta et al., PASP, 97, 229, 1985        I",I,N/A
